x,y,elev,cadmium,lead,zinc
181072,333611,7.909,11.7,299,1022
181025,333558,6.983,8.6,277,1141
181165,333537,7.8,6.5,199,640
181298,333484,7.655,2.6,116,257
181307,333330,7.48,2.8,117,269
181390,333260,7.791,3,137,281
181165,333370,8.217,3.2,132,346
181027,333363,8.49,2.8,150,406
181060,333231,8.668,2.4,133,347
181232,333168,9.049,1.6,80,183
181191,333115,9.015,1.4,86,189
181032,333031,9.073,1.8,97,251
180874,333339,7.32,11.2,285,1096
180969,333252,8.815,2.5,183,504
181011,333161,8.937,2,130,326
180830,333246,7.702,9.5,240,1032
180763,333104,7.16,7,133,606
180694,332972,7.1,7.1,148,711
180625,332847,7.02,8.7,207,735
180555,332707,6.86,12.9,284,1052
180642,332708,8.908,5.5,194,673
180704,332717,8.99,2.8,123,402
180704,332664,8.83,2.9,110,343
181153,332925,9.02,1.7,85,218
181147,332823,8.976,1.4,75,200
181167,332778,8.973,1.5,76,194
181008,332777,8.507,1.3,73,207
180973,332687,8.743,1.3,67,180
180916,332753,8.973,1.8,87,240
181352,332946,9.043,1.5,65,180
181133,332570,8.688,1.3,78,208
180878,332489,8.727,1.3,64,198
180829,332450,8.328,2.1,77,250
180954,332399,7.971,1.2,80,192
180956,332318,7.809,1.6,82,213
180710,332330,6.986,3,97,321
180632,332445,7.756,5.8,166,569
180530,332538,7.784,7.9,217,833
180478,332578,7,8.1,219,906
180383,332476,6.92,14.1,405,1454
180494,332330,7.516,2.4,102,298
180561,332193,8.18,1.2,48,167
180451,332175,8.694,1.7,65,176
180410,332031,9.28,1.3,62,258
180355,332299,7.94,4.2,281,746
180292,332157,6.36,4.3,294,746
180283,332014,7.78,3.1,211,464
180282,331861,8.18,1.7,135,365
180270,331707,9.42,1.7,112,282
180199,331591,8.867,2.1,162,375
180135,331552,8.292,1.7,94,222
180237,332351,8.06,8.2,191,812
180103,332297,7.98,17,405,1548
179973,332255,7.9,12,654,1839
179826,332217,7.74,9.4,482,1528
179687,332161,7.552,8.2,276,933
179792,332035,7.76,2.6,180,432
179902,332113,6.74,3.5,207,550
180100,332213,6.68,10.9,541,1571
179604,332059,7.4,7.3,310,1190
179526,331936,7.44,9.4,210,907
179495,331770,7.36,8.3,158,761
179489,331633,7.2,7,141,659
179414,331494,7.22,6.8,144,643
179334,331366,7.36,7.4,181,801
179255,331264,5.18,6.6,173,784
179470,331125,5.8,7.8,399,1060
179692,330933,7.64,0.7,45,119
179852,330801,6.32,3.4,325,778
179140,330955,5.76,3.9,268,703
179128,330867,6.48,3.5,252,676
179065,330864,6.48,4.7,315,793
179007,330727,6.32,3.9,260,685
179110,330758,6.32,3.1,237,593
179032,330645,6.16,2.9,228,549
179095,330636,6.56,3.9,241,680
179058,330510,6.9,2.7,201,539
178810,330666,7.54,2.5,204,560
178912,330779,6.42,5.6,429,1136
178981,330924,6.28,9.4,462,1383
179076,331005,6.34,10.8,333,1161
180151,330353,7.307,18.1,464,1672
179211,331175,5.7,6.3,159,765
181118,333214,7.72,2.1,116,279
179474,331304,7.932,1.8,81,241
179559,331423,7.82,2.2,131,317
179022,330873,8.575,2.8,216,545
178953,330742,8.536,2.4,145,505
178875,330516,8.504,2.6,163,420
178803,330349,8.659,1.8,129,332
179029,330394,7.633,2,148,400
178605,330406,8.538,2.7,214,553
178701,330557,7.68,2.7,226,577
179547,330245,7.564,0.9,54,155
179301,330179,7.76,0.9,70,224
179405,330567,7.653,0.4,73,180
179462,330766,7.951,0.8,87,226
179293,330797,8.176,0.4,76,186
179180,330710,8.468,0.4,81,198
179206,330398,8.41,0.4,68,187
179618,330458,7.61,0.8,66,199
179782,330540,7.792,0.4,49,157
179980,330773,8.76,0.4,63,203
180067,331185,9.879,0.4,48,143
180162,331387,9.097,0.2,51,136
180451,331473,9.095,0.2,50,117
180328,331158,9.717,0.4,39,113
180276,330963,9.924,0.2,48,130
180114,330803,9.404,0.2,64,192
179881,330912,10.52,0.4,84,240
179774,330921,8.84,0.2,67,221
179657,331150,8.472,0.2,49,140
179731,331245,9.634,0.2,48,128
179717,331441,9.206,0.2,56,166
179446,331422,8.47,0.2,65,191
179524,331565,8.463,0.2,84,232
179644,331730,9.691,0.2,75,203
180321,330366,8.704,3.7,250,722
180162,331837,9.42,0.2,81,210
180029,331720,9.573,0.2,72,198
179797,331919,9.555,0.2,86,139
179642,331955,8.779,0.2,94,253
179849,332142,8.54,1.2,244,703
180265,332297,8.809,2.4,297,832
180107,332101,9.523,0.2,96,262
180462,331947,9.811,0.2,56,142
180478,331822,9.604,0.2,49,119
180347,331700,9.732,0.2,50,152
180862,333116,9.518,0.4,148,415
180700,332882,9.72,1.6,162,474
180201,331160,9.036,0.8,37,126
180173,331923,9.528,1.2,80,210
180923,332874,9.155,0.2,80,220
180467,331694,10.08,0.2,49,133
179917,331325,9.97,0.8,42,141
179822,331242,10.136,1,48,158
179991,331069,10.32,0.8,41,129
179120,330578,9.041,1.2,73,206
179034,330561,7.86,2,146,451
179085,330433,8.741,1.5,95,296
179236,330046,7.822,1.1,72,189
179456,330072,7.78,0.8,51,154
179550,329940,8.121,0.8,54,169
179445,329807,8.231,2.1,136,403
179337,329870,8.351,2.5,170,471
179245,329714,7.3,3.8,179,612
179024,329733,7.536,3.2,200,601
178786,329822,7.706,3.1,258,783
179135,329890,8.07,1.5,93,258
179030,330082,8.226,1.2,68,214
179184,330182,8.128,0.8,49,166
179085,330292,8.577,3.1,173,496
178875,330311,8.429,2.1,119,342
179466,330381,9.406,0.8,51,162
180627,330190,8.261,2.7,124,375
